[00:01.84 : ( 0.5, -0.7)]
[00:02.25 : ( 0.9,  0.2)]
[00:02.66 : (-1.0,  0.6)]
[00:03.04 : ( 0.5,  0.3)]
[00:03.59 : ( 0.3,  0.9)]
[00:04.15 : ( 0.4, -0.9)]
[00:04.86 : (-0.2, -0.9)]
[00:05.30 : ( 0.3, -0.1)]
[00:05.75 : ( 0.3, -0.0)]
[00:06.42 : (-0.8,  0.8)]
[00:06.90 : (-0.6,  0.5)]
[00:07.38 : (-0.1, -0.5)]
[00:07.91 : ( 0.1,  0.2)]
[00:08.39 : (-0.8, -0.7)]
[00:08.87 : ( 1.0, -0.6)]
[00:09.35 : (-0.9,  0.2)]
[00:09.82 : ( 0.7, -0.2)]
[00:10.30 : (-0.3,  0.6)]
[00:10.82 : ( 1.0, -0.4)]
[00:11.29 : ( 0.3,  0.9)]
[00:11.77 : (-0.1,  0.6)]
[00:12.36 : (-0.9,  0.5)]
[00:12.84 : ( 0.4,  0.0)]
[00:13.31 : ( 0.7,  0.2)]
[00:13.77 : (-0.7,  0.6)]
[00:14.24 : ( 0.2,  0.6)]
[00:14.71 : (-0.0, -0.5)]
[00:15.43 : ( 1.0,  0.3)]
[00:15.90 : ( 0.5, -0.5)]
[00:16.36 : (-0.5,  0.0)]
[00:16.83 : (-0.1, -0.8)]
[00:17.29 : (-0.3, -0.3)]
[00:17.76 : ( 0.1,  0.2)]
[00:18.24 : (-0.9, -0.6)]
[00:18.70 : ( 1.0, -0.5)]
[00:19.17 : ( 0.7, -0.8)]
[00:19.62 : (-0.2, -0.1)]
[00:20.09 : (-0.3,  0.6)]
[00:20.55 : ( 0.4,  0.3)]
[00:21.01 : ( 0.3,  0.2)]
[00:21.48 : (-0.4, -0.9)]
[00:21.96 : (-0.9,  0.1)]
[00:22.44 : ( 0.3,  1.0)]
[00:22.91 : (-0.3, -0.2)]
[00:23.38 : (-0.1, -1.0)]
[00:23.84 : ( 0.9, -0.7)]
[00:24.31 : (-0.3,  0.9)]
[00:24.79 : ( 0.7, -0.7)]
[00:25.32 : ( 0.6, -0.2)]
[00:25.79 : (-0.5, -0.5)]
[00:26.26 : ( 0.2, -0.0)]
[00:26.73 : (-0.7, -0.6)]
[00:27.48 : ( 0.6,  0.4)]
[00:27.95 : ( 0.3,  0.7)]
[00:28.41 : ( 0.4, -0.9)]
[00:28.88 : (-0.7,  0.6)]
[00:29.35 : (-0.4,  0.9)]
[00:29.81 : (-0.1, -0.8)]
[00:30.28 : ( 0.8,  0.3)]
[00:30.76 : (-0.8,  0.6)]
[00:31.21 : ( 0.8,  0.5)]
[00:31.67 : (-0.5, -0.2)]
[00:32.14 : ( 0.1,  0.4)]
[00:32.61 : ( 0.5, -0.2)]
[00:33.05 : (-0.7, -0.9)]
[00:33.51 : (-0.6,  0.5)]
[00:33.97 : ( 0.9,  0.5)]
[00:34.49 : (-0.4, -0.8)]
[00:34.95 : (-0.5, -0.1)]
[00:35.41 : (-0.7, -0.1)]
[00:35.88 : ( 0.2, -0.7)]
[00:36.35 : (-0.7,  0.2)]
[00:36.81 : ( 0.5,  0.3)]
[00:37.27 : ( 0.9, -0.8)]
[00:37.73 : ( 0.2, -0.5)]
[00:38.20 : ( 0.6,  0.1)]
[00:38.66 : ( 0.4,  0.3)]
[00:39.13 : ( 0.5,  0.2)]
[00:39.60 : (-0.5,  0.7)]
[00:40.06 : ( 0.1,  1.0)]
[00:40.68 : (-0.7, -0.6)]
[00:41.15 : (-0.1,  0.7)]
[00:41.61 : (-0.9,  0.2)]
[00:42.08 : ( 0.5,  0.9)]
[00:42.55 : ( 0.5,  0.6)]
[00:43.03 : (-0.8,  0.2)]
[00:43.48 : (-0.6,  0.9)]
[00:43.95 : (-0.7, -0.5)]
[00:44.43 : ( 0.0, -0.1)]
[00:44.92 : (-0.3,  0.4)]
[00:45.40 : ( 0.7, -0.8)]
[00:45.87 : (-0.8, -0.4)]
[00:46.37 : (-0.6, -0.3)]
[00:46.85 : (-0.4,  0.1)]
[00:47.33 : (-0.9, -0.1)]
[00:47.82 : ( 0.4, -0.7)]
[00:48.30 : ( 0.1, -0.0)]
[00:48.77 : (-0.8, -0.9)]
[00:49.27 : ( 0.0,  0.7)]
[00:49.75 : ( 0.5,  0.1)]
[00:50.23 : ( 0.6,  0.5)]
[00:50.73 : (-0.0, -0.2)]
[00:51.21 : (-1.0, -0.5)]
[00:51.68 : (-0.5,  0.5)]
[00:52.18 : ( 0.1,  0.5)]
[00:52.66 : ( 0.3, -0.1)]
[00:53.13 : ( 0.4,  0.4)]
[00:53.62 : ( 0.5,  0.0)]
[00:54.10 : (-0.4, -0.8)]
[00:54.58 : ( 0.8,  0.7)]
[00:55.08 : ( 0.6,  0.7)]
[00:55.56 : ( 0.6, -0.0)]
[00:56.03 : ( 0.5, -0.5)]
[00:56.54 : ( 0.7,  0.8)]
[00:57.01 : ( 0.8, -0.9)]
[00:57.49 : ( 0.2,  0.4)]
[00:57.99 : (-0.0,  1.0)]
[00:58.46 : ( 0.4, -1.0)]
[00:58.94 : ( 0.7,  0.6)]
[00:59.42 : ( 0.9, -0.1)]
[00:59.90 : ( 1.0, -0.2)]
[01:00.37 : ( 0.8,  0.2)]
[01:00.85 : (-0.8,  0.6)]
[01:01.37 : (-0.1,  0.3)]
[01:01.85 : (-0.1,  0.6)]
[01:02.32 : (-0.1,  0.9)]
[01:02.83 : (-0.2, -0.6)]
[01:03.30 : (-0.6, -0.3)]
[01:03.78 : (-0.8, -0.7)]
[01:04.28 : ( 0.6,  0.2)]
[01:04.75 : (-0.5, -0.8)]
[01:05.23 : ( 0.4,  1.0)]
[01:05.73 : ( 1.0,  0.9)]
[01:06.21 : (-0.8,  0.1)]
[01:06.69 : ( 0.8,  0.0)]
[01:07.18 : (-0.7, -0.6)]
[01:07.66 : ( 0.8, -0.9)]
[01:08.13 : ( 0.2,  0.9)]
[01:08.63 : (-0.4, -0.0)]
[01:09.11 : ( 0.5, -0.7)]
[01:09.58 : (-0.2,  0.5)]
[01:10.08 : ( 0.6, -0.9)]
[01:10.56 : ( 0.6,  0.6)]
[01:11.03 : (-0.6,  0.4)]
[01:11.50 : ( 0.9, -0.5)]
[01:11.97 : ( 0.8,  0.7)]
[01:12.45 : ( 0.0,  0.5)]
[01:12.91 : (-0.7, -0.3)]
[01:13.39 : ( 0.4, -0.2)]
[01:13.86 : ( 0.1, -0.6)]
[01:14.32 : (-1.0, -0.4)]
[01:14.79 : ( 0.8,  0.9)]
[01:15.26 : (-0.7,  0.2)]
[01:15.74 : (-0.1, -0.6)]
[01:16.13 : ( 0.1,  0.8)]
[01:16.60 : ( 0.0,  0.7)]
[01:17.07 : ( 1.0,  0.6)]
[01:17.53 : ( 0.4,  0.6)]
[01:18.01 : ( 0.8,  0.6)]
[01:18.48 : ( 0.9,  0.7)]
[01:19.02 : (-0.8,  0.2)]
[01:19.50 : (-0.9,  0.3)]
[01:19.97 : ( 0.6,  0.9)]
[01:20.49 : (-0.8, -0.7)]
[01:20.96 : ( 0.3, -0.2)]
[01:21.44 : ( 0.7, -0.2)]
[01:21.93 : (-0.7, -0.8)]
[01:22.41 : ( 0.9,  0.3)]
[01:22.88 : (-0.2,  1.0)]
[01:23.34 : (-0.9,  0.5)]
[01:23.82 : ( 0.9, -0.1)]
[01:24.30 : (-0.3, -0.7)]
[01:24.76 : ( 1.0, -0.3)]
[01:25.23 : (-0.3, -0.5)]
[01:25.71 : ( 0.7,  0.6)]
[01:26.42 : ( 0.5,  0.3)]
[01:26.89 : (-0.9, -0.3)]
[01:27.37 : ( 0.8, -0.3)]
[01:27.99 : (-0.9, -0.7)]
[01:28.46 : (-0.0, -0.4)]
[01:28.94 : ( 0.9, -0.0)]
[01:29.44 : (-0.3, -0.6)]
[01:29.92 : (-0.4,  0.1)]
[01:30.40 : ( 0.3, -0.0)]
[01:30.90 : ( 0.6, -0.6)]
[01:31.37 : ( 0.7,  0.5)]
[01:31.85 : (-0.4, -0.6)]
[01:32.35 : (-1.0,  0.7)]
[01:32.82 : (-0.2,  0.2)]
[01:33.30 : (-0.4,  0.8)]
[01:33.80 : ( 0.1,  0.4)]
[01:34.28 : (-0.3, -0.7)]
[01:34.75 : (-0.1,  0.1)]
[01:35.25 : ( 0.3, -0.2)]
[01:35.73 : (-1.0,  0.3)]
[01:36.20 : ( 0.5, -0.7)]
[01:36.70 : ( 0.9, -0.9)]
[01:37.18 : ( 0.4,  0.6)]
[01:37.65 : (-0.1,  0.7)]
[01:38.15 : (-0.7, -0.2)]
[01:38.63 : ( 0.8,  0.5)]
[01:39.11 : (-0.3,  0.2)]
[01:39.61 : ( 0.2, -0.6)]
[01:40.08 : (-0.4, -0.5)]
[01:40.56 : ( 0.4,  0.6)]
[01:41.03 : (-0.7,  0.1)]
[01:41.50 : (-0.6,  0.9)]
[01:41.97 : (-0.6,  0.8)]
[01:42.45 : ( 1.0,  0.4)]
[01:42.91 : (-0.4,  0.6)]
[01:43.39 : (-0.5, -0.2)]
[01:43.86 : ( 0.3, -0.2)]
[01:44.44 : (-0.8, -0.5)]
[01:44.92 : (-0.1, -0.5)]
[01:45.39 : (-0.3, -0.7)]
[01:45.90 : (-0.6, -0.9)]
[01:46.37 : (-0.3, -0.3)]
[01:46.85 : ( 0.2, -0.8)]
[01:47.35 : ( 1.0, -0.9)]
[01:47.82 : (-0.0, -0.2)]
[01:48.30 : ( 0.8, -0.5)]
[01:48.80 : (-0.3,  0.8)]
[01:49.28 : ( 0.6, -0.8)]
[01:49.75 : ( 0.8, -0.9)]
[01:50.25 : (-0.0,  0.8)]
[01:50.73 : (-0.8,  0.2)]
[01:51.20 : ( 0.0, -0.1)]
[01:51.70 : ( 0.6,  0.1)]
[01:52.18 : ( 0.6,  0.8)]
[01:52.65 : ( 0.2, -0.1)]
[01:53.15 : ( 0.7,  0.4)]
[01:53.63 : (-0.6,  1.0)]
[01:54.11 : (-0.5,  0.6)]
[01:54.60 : ( 0.0, -0.1)]
[01:55.08 : ( 0.9,  0.8)]
[01:55.55 : (-0.2, -0.3)]
[01:56.02 : (-0.0, -0.5)]
[01:56.49 : (-0.6, -0.8)]
[01:56.97 : ( 0.6,  0.9)]
[01:57.43 : ( 0.3,  0.3)]
[01:57.91 : (-0.6, -0.9)]
[01:58.38 : ( 0.4,  0.5)]
[01:58.86 : (-0.7, -0.1)]
[01:59.32 : (-0.7, -0.3)]
[01:59.79 : (-0.2,  0.8)]
[02:00.26 : ( 0.1, -0.7)]
[02:00.72 : (-0.6,  0.9)]
[02:01.19 : (-0.1, -0.6)]
[02:01.65 : (-0.7,  0.3)]
[02:02.11 : (-0.8,  0.0)]
[02:02.58 : ( 0.4, -0.8)]
